t,位移: ID:6 多段杆 pt1 x,速度: ID:6 多段杆 pt1 x,加速度: ID:6 多段杆 pt1 x,
0,101.069,-639.894,-5503.93,
0.001,100.426,-645.341,-5443.62,
0.002,99.778,-650.727,-5384.06,
0.003,99.1246,-656.053,-5325.23,
0.004,98.4659,-661.321,-5267.14,
0.005,97.802,-666.531,-5209.77,
0.006,97.1328,-671.684,-5153.12,
0.007,96.4586,-676.78,-5097.18,
0.008,95.7793,-681.82,-5041.96,
0.009,95.095,-686.805,-4987.43,
0.01,94.4057,-691.736,-4933.61,
0.011,93.7115,-696.612,-4880.47,
0.012,93.0125,-701.436,-4828.02,
0.013,92.3087,-706.208,-4776.24,
0.014,91.6001,-710.927,-4725.14,
0.015,90.8868,-715.596,-4674.71,
0.016,90.1689,-720.215,-4624.94,
0.017,89.4464,-724.783,-4575.82,
0.018,88.7194,-729.303,-4527.35,
0.019,87.9878,-733.774,-4479.52,
0.02,87.2519,-738.198,-4432.33,
0.021,86.5115,-742.574,-4385.77,
0.022,85.7667,-746.904,-4339.83,
0.023,85.0177,-751.188,-4294.51,
0.024,84.2644,-755.427,-4249.81,
0.025,83.5068,-759.621,-4205.7,
0.026,82.7451,-763.771,-4162.2,
0.027,81.9793,-767.878,-4119.29,
0.028,81.2094,-771.942,-4076.96,
0.029,80.4354,-775.964,-4035.22,
0.03,79.6575,-779.943,-3994.05,
0.031,78.8756,-783.882,-3953.44,
0.032,78.0897,-787.781,-3913.4,
0.033,77.3,-791.639,-3873.91,
0.034,76.5065,-795.458,-3834.97,
0.035,75.7091,-799.238,-3796.58,
0.036,74.908,-802.979,-3758.72,
0.037,74.1032,-806.683,-3721.39,
0.038,73.2946,-810.35,-3684.58,
0.039,72.4825,-813.979,-3648.3,
0.04,71.6667,-817.573,-3612.52,
0.041,70.8473,-821.131,-3577.25,
0.042,70.0244,-824.653,-3542.48,
0.043,69.198,-828.141,-3508.21,
0.044,68.3682,-831.595,-3474.42,
0.045,67.5349,-835.014,-3441.11,
0.046,66.6982,-838.401,-3408.28,
0.047,65.8581,-841.755,-3375.92,
0.048,65.0147,-845.076,-3344.03,
0.049,64.1679,-848.366,-3312.59,
0.05,63.3179,-851.624,-3281.6,
0.051,62.4647,-854.851,-3251.06,
0.052,61.6082,-858.048,-3220.96,
0.053,60.7486,-861.215,-3191.3,
0.054,59.8858,-864.352,-3162.06,
0.055,59.0199,-867.459,-3133.25,
0.056,58.1509,-870.538,-3104.85,
0.057,57.2789,-873.589,-3076.87,
0.058,56.4037,-876.612,-3049.29,
0.059,55.5256,-879.607,-3022.12,
0.06,54.6445,-882.575,-2995.34,
0.061,53.7605,-885.516,-2968.95,
0.062,52.8735,-888.431,-2942.94,
0.063,51.9836,-891.319,-2917.32,
0.064,51.0909,-894.183,-2892.07,
0.065,50.1953,-897.02,-2867.18,
0.066,49.2969,-899.833,-2842.66,
0.067,48.3956,-902.622,-2818.5,
0.068,47.4916,-905.386,-2794.68,
0.069,46.5849,-908.127,-2771.22,
0.07,45.6754,-910.844,-2748.1,
0.071,44.7632,-913.538,-2725.32,
0.072,43.8483,-916.209,-2702.86,
0.073,42.9308,-918.858,-2680.74,
0.074,42.0106,-921.484,-2658.93,
0.075,41.0878,-924.089,-2637.45,
0.076,40.1624,-926.672,-2616.27,
0.077,39.2345,-929.235,-2595.4,
0.078,38.304,-931.776,-2574.84,
0.079,37.3709,-934.296,-2554.57,
0.08,36.4354,-936.797,-2534.6,
0.081,35.4973,-939.277,-2514.91,
0.082,34.5568,-941.738,-2495.5,
0.083,33.6139,-944.179,-2476.38,
0.084,32.6685,-946.601,-2457.53,
0.085,31.7207,-949.004,-2438.94,
0.086,30.7705,-951.389,-2420.63,
0.087,29.8179,-953.755,-2402.57,
0.088,28.863,-956.103,-2384.76,
0.089,27.9057,-958.434,-2367.21,
0.09,26.9461,-960.746,-2349.91,
0.091,25.9842,-963.042,-2332.85,
0.092,25.02,-965.32,-2316.02,
0.093,24.0536,-967.581,-2299.43,
0.094,23.0849,-969.826,-2283.07,
0.095,22.1139,-972.055,-2266.93,
0.096,21.1408,-974.267,-2251.02,
0.097,20.1654,-976.463,-2235.32,
0.098,19.1879,-978.644,-2219.83,
0.099,18.2081,-980.809,-2204.55,
0.1,17.2262,-982.959,-2189.48,
0.101,16.2422,-985.093,-2174.6,
0.102,15.2561,-987.213,-2159.92,
0.103,14.2678,-989.318,-2145.44,
0.104,13.2774,-991.409,-2131.14,
0.105,12.285,-993.485,-2117.02,
0.106,11.2905,-995.547,-2103.09,
0.107,10.2939,-997.595,-2089.33,
0.108,9.29528,-999.629,-2075.75,
0.109,8.29464,-1001.65,-2062.33,
0.11,7.29198,-1003.66,-2049.08,
0.111,6.28733,-1005.65,-2035.99,
0.112,5.28069,-1007.63,-2023.05,
0.113,4.27207,-1009.6,-2010.27,
0.114,3.2615,-1011.55,-1997.64,
0.115,2.24897,-1013.5,-1985.16,
0.116,1.23451,-1015.42,-1972.82,
0.117,0.218126,-1017.34,-1960.61,
0.118,-0.80017,-1019.25,-1948.55,
0.119,-1.82036,-1021.14,-1936.61,
0.12,-2.84244,-1023.02,-1924.81,
0.121,-3.8664,-1024.89,-1913.12,
0.122,-4.89222,-1026.75,-1901.56,
0.123,-5.91989,-1028.59,-1890.12,
0.124,-6.9494,-1030.43,-1878.79,
0.125,-7.98074,-1032.25,-1867.57,
0.126,-9.01389,-1034.06,-1856.46,
0.127,-10.0489,-1035.86,-1845.46,
0.128,-11.0856,-1037.65,-1834.55,
0.129,-12.1241,-1039.43,-1823.75,
0.13,-13.1645,-1041.19,-1813.03,
0.131,-14.2065,-1042.95,-1802.41,
0.132,-15.2504,-1044.7,-1791.88,
0.133,-16.2959,-1046.43,-1781.43,
0.134,-17.3432,-1048.16,-1771.07,
0.135,-18.3922,-1049.87,-1760.78,
0.136,-19.4429,-1051.57,-1750.56,
0.137,-20.4954,-1053.27,-1740.42,
0.138,-21.5495,-1054.95,-1730.35,
0.139,-22.6053,-1056.62,-1720.35,
0.14,-23.6627,-1058.29,-1710.4,
0.141,-24.7218,-1059.94,-1700.52,
0.142,-25.7826,-1061.58,-1690.7,
0.143,-26.845,-1063.22,-1680.92,
0.144,-27.909,-1064.84,-1671.2,
0.145,-28.9747,-1066.45,-1661.53,
0.146,-30.0419,-1068.06,-1651.9,
0.147,-31.1108,-1069.65,-1642.32,
0.148,-32.1812,-1071.23,-1632.77,
0.149,-33.2533,-1072.81,-1623.27,
0.15,-34.3268,-1074.37,-1613.79,
0.151,-35.402,-1075.93,-1604.35,
0.152,-36.4787,-1077.48,-1594.93,
0.153,-37.5569,-1079.01,-1585.54,
0.154,-38.6367,-1080.54,-1576.18,
0.155,-39.718,-1082.06,-1566.83,
0.156,-40.8008,-1083.57,-1557.5,
0.157,-41.8852,-1085.06,-1548.18,
0.158,-42.971,-1086.55,-1538.88,
0.159,-44.0583,-1088.03,-1529.59,
0.16,-45.147,-1089.5,-1520.3,
0.161,-46.2373,-1090.96,-1511.02,
0.162,-47.329,-1092.42,-1501.74,
0.163,-48.4221,-1093.86,-1492.46,
0.164,-49.5167,-1095.29,-1483.17,
0.165,-50.6127,-1096.72,-1473.88,
0.166,-51.7101,-1098.13,-1464.58,
0.167,-52.8089,-1099.53,-1455.27,
0.168,-53.9092,-1100.93,-1445.95,
0.169,-55.0108,-1102.32,-1436.61,
0.17,-56.1138,-1103.69,-1427.25,
0.171,-57.2182,-1105.06,-1417.87,
0.172,-58.3239,-1106.42,-1408.47,
0.173,-59.431,-1107.77,-1399.05,
0.174,-60.5394,-1109.1,-1389.6,
0.175,-61.6492,-1110.43,-1380.11,
0.176,-62.7603,-1111.75,-1370.6,
0.177,-63.8727,-1113.06,-1361.05,
0.178,-64.9864,-1114.36,-1351.46,
0.179,-66.1014,-1115.65,-1341.84,
0.18,-67.2177,-1116.93,-1332.18,
0.181,-68.3353,-1118.2,-1322.47,
0.182,-69.4541,-1119.47,-1312.72,
0.183,-70.5742,-1120.72,-1302.92,
0.184,-71.6956,-1121.96,-1293.07,
0.185,-72.8181,-1123.19,-1283.17,
0.186,-73.9419,-1124.41,-1273.21,
0.187,-75.0669,-1125.62,-1263.21,
0.188,-76.1932,-1126.82,-1253.14,
0.189,-77.3206,-1128.01,-1243.01,
0.19,-78.4492,-1129.2,-1232.83,
0.191,-79.579,-1130.37,-1222.58,
0.192,-80.7099,-1131.53,-1212.26,
0.193,-81.842,-1132.68,-1201.88,
0.194,-82.9753,-1133.82,-1191.43,
0.195,-84.1097,-1134.94,-1180.91,
0.196,-85.2452,-1136.06,-1170.32,
0.197,-86.3818,-1137.17,-1159.65,
0.198,-87.5195,-1138.27,-1148.9,
0.199,-88.6583,-1139.35,-1138.08,
0.2,-89.7982,-1140.43,-1127.18,
0.201,-90.9392,-1141.49,-1116.2,
0.202,-92.0812,-1142.54,-1105.14,
0.203,-93.2242,-1143.58,-1093.99,
0.204,-94.3683,-1144.62,-1082.75,
0.205,-95.5135,-1145.63,-1071.43,
0.206,-96.6596,-1146.64,-1060.02,
0.207,-97.8067,-1147.64,-1048.52,
0.208,-98.9549,-1148.62,-1036.92,
0.209,-100.104,-1149.59,-1025.24,
0.21,-101.254,-1150.56,-1013.46,
0.211,-102.405,-1151.5,-1001.58,
0.212,-103.557,-1152.44,-989.601,
0.213,-104.71,-1153.37,-977.526,
0.214,-105.864,-1154.28,-965.35,
0.215,-107.019,-1155.18,-953.073,
0.216,-108.174,-1156.07,-940.692,
0.217,-109.331,-1156.94,-928.207,
0.218,-110.488,-1157.81,-915.617,
0.219,-111.646,-1158.66,-902.92,
0.22,-112.805,-1159.49,-890.115,
0.221,-113.965,-1160.32,-877.201,
0.222,-115.126,-1161.13,-864.177,
0.223,-116.288,-1161.93,-851.042,
0.224,-117.45,-1162.71,-837.794,
0.225,-118.613,-1163.49,-824.433,
0.226,-119.777,-1164.24,-810.958,
0.227,-120.941,-1164.99,-797.367,
0.228,-122.107,-1165.72,-783.66,
0.229,-123.273,-1166.44,-769.836,
0.23,-124.44,-1167.14,-755.894,
0.231,-125.607,-1167.83,-741.833,
0.232,-126.775,-1168.51,-727.652,
0.233,-127.944,-1169.17,-713.35,
0.234,-129.114,-1169.81,-698.927,
0.235,-130.284,-1170.45,-684.382,
0.236,-131.455,-1171.06,-669.714,
